,Unnamed: 0,nodes,id,avg_avg_fit,min_best_fit,max_best_fit,avg_best_fit,prop_fit_enough,avg_peak_sd,prop_together,num_edges,two_cycles,long_cycles,strongly_connected
0,0,14,118,1.7258089525397786,2.5088633258326567,3.957151609025232,3.280182224541333,0.0,0.0,0.0,42,7,109,False
1,1,14,38,2.698352321429104,3.085650111093687,6.3328822564648615,4.909648554181795,0.0,0.0,0.0,45,6,348,True
2,2,14,228,1.7582760463262812,2.6137464735044245,4.260583714602667,3.3141421512630918,0.0,0.0,0.0,42,7,50,False
3,3,14,190,1.848022405211708,2.107659980233106,4.9258731591182965,3.3185365201637125,0.0,0.0,0.0,44,5,61,False
4,4,14,288,2.0556101103177453,2.7690404550784717,6.739207086808724,4.1235912599007225,0.0,0.0,0.0,43,6,373,True
5,5,14,338,2.321838847799257,2.8886101930173265,5.5361007566829885,4.29244471377544,0.0,0.0,0.0,44,6,285,True
6,6,14,355,2.052727956970464,2.3229797863834847,4.939903194632108,3.606653542724055,0.0,0.0,0.0,41,3,44,False
7,7,14,393,2.134092712386269,2.4250085583614367,5.380621750737677,3.9896853045025895,0.0,0.0,0.0,42,3,1140,False
8,8,14,378,2.8202730201312827,3.4933567230987914,6.847986252840467,5.128986667496659,0.0,0.0,0.0,43,6,178,False
9,9,14,488,2.5363802756857865,3.1999262425476154,5.609754057371467,4.604505999608956,0.0,0.0,0.0,44,5,196,False
10,10,14,138,2.501991501503761,3.1988971608059305,6.070825216536676,4.5648302195333486,0.0,0.0,0.0,47,4,1224,False
11,11,14,483,2.6660251567083515,3.966015884336954,6.79156114994263,5.194434819572207,0.0,0.0,0.0,41,8,128,False
12,12,14,467,2.1507943370644877,2.2707046100928348,4.912661440911678,3.740956714415261,0.0,0.0,0.0,41,5,84,False
13,13,14,91,2.332408046841679,2.8152678839893626,5.0732829086086575,4.266999841846274,0.0,0.0,0.0,42,8,702,False
14,14,14,184,2.7640137798308344,4.1778162793029905,6.306623177207918,5.254317651102232,0.0,0.0,0.0,48,9,651,True
15,15,14,494,2.454705723182779,3.456312652491025,5.537684695518616,4.577312390819039,0.0,0.0,0.0,42,5,592,True
16,16,14,482,2.046091986399184,2.3746121990765303,4.616295252841228,3.604784281220811,0.0,0.0,0.0,42,6,234,False
17,17,14,389,2.2749764198048017,2.977144871721068,4.8992767500828185,4.04517935082742,0.0,0.0,0.0,42,5,98,True
18,18,14,462,2.228937502308269,3.459220585238908,5.424447423521486,4.487624990641889,0.0,0.0,0.0,39,9,117,False
19,19,14,103,2.7688972103941234,3.198940543652992,6.658300837585692,4.76921326389184,0.0,0.0,0.0,41,5,340,True
20,20,14,65,2.466490214960826,2.5633581356744437,7.472345192210303,4.3729404172966735,0.0,0.0,0.0,43,9,90,False
21,21,14,423,2.738533843695892,2.475060773562804,6.39403498602936,4.863848655444429,0.0,0.0,0.0,41,4,51,False
22,22,14,387,2.054226732176786,3.0003289810408966,6.021251534297679,3.776917027194792,0.0,0.0,0.0,44,4,183,False
23,23,14,478,2.0200763573495424,2.4319345351849218,5.007472030775825,3.70532517775336,0.0,0.0,0.0,42,8,430,True
24,24,14,234,2.3895241474933573,3.3019742564561674,5.712667125279991,4.448905593409832,0.0,0.0,0.0,43,5,223,False
25,25,14,79,2.1727872547237888,3.1225725465373637,5.266255622145988,4.130175014492908,0.0,0.0,0.0,41,4,367,True
26,26,14,314,2.262076097176201,2.994062565214485,5.075553456475469,4.109653530418791,0.0,0.0,0.0,40,3,84,False
27,27,14,205,1.968867418862176,2.5784334974142262,4.808558092435207,3.3297324812609395,0.0,0.0,0.0,41,3,185,False
28,28,14,390,2.074868689720683,2.4709988176565623,4.659533335945987,3.4578287447354525,0.0,0.0,0.0,40,7,26,False
29,29,14,198,2.690562394941113,3.84062599487356,6.551490303894316,5.177619466981375,0.0,0.0,0.0,42,6,571,True
30,30,14,41,2.491506231578167,3.797365240405178,6.080611157726755,4.875585126671072,0.0,0.0,0.0,44,8,789,True
31,31,14,17,2.469116540040276,3.20321504330197,5.480210159929412,4.52268543046582,0.0,0.0,0.0,39,7,157,False
32,32,14,108,2.45087696612722,3.3718688808639783,6.035272908557137,4.181557402220078,0.0,0.0,0.0,44,6,1086,True
33,33,14,475,2.2719000522628514,3.0978629526009898,5.1103795570564685,4.1124390377209465,0.0,0.0,0.0,42,3,576,True
34,34,14,23,2.0866509037083736,2.6061794205591267,5.291094892058799,3.697863501795795,0.0,0.0,0.0,42,7,34,False
35,35,14,276,2.411392992811917,3.045463170283617,5.951448742603392,4.374211612058828,0.0,0.0,0.0,40,5,289,True
36,36,14,7,2.4768648212032534,3.3447257763167086,5.679194736380341,4.4055236330934475,0.0,0.0,0.0,45,5,258,False
37,37,14,245,2.178601200503101,3.1110850269697417,5.418703537232288,3.9868526701880143,0.0,0.0,0.0,42,5,299,False
38,38,14,57,2.5928098930472365,3.5144441617011277,5.532434362489266,4.511858582579452,0.0,0.0,0.0,44,6,115,False
39,39,14,369,2.2174545676336668,3.0531763886790086,5.2557449487273535,4.126991353303837,0.0,0.0,0.0,41,4,380,False
40,40,14,149,2.476924759915213,2.798968329183857,5.23120742184238,3.9522887068354,0.0,0.0,0.0,44,3,576,True
41,41,14,64,2.4098685426826725,2.748805452202041,5.8514798211971835,4.5744293817942765,0.0,0.0,0.0,46,6,1703,True
42,42,14,72,2.383460258471358,3.4117152651448843,5.5733512367889055,4.427220177234607,0.0,0.0,0.0,42,4,204,False
43,43,14,421,2.3442906475687018,2.4164937987064383,6.016150349241225,4.194576223675643,0.0,0.0,0.0,45,6,1068,True
44,44,14,180,2.5675647975533757,3.8105990622712165,5.496145870271209,4.567938522512844,0.0,0.0,0.0,44,7,330,False
45,45,14,222,2.0822636820444336,2.843606822291164,4.908706994413637,3.9270746109702976,0.0,0.0,0.0,42,3,351,True
46,46,14,19,2.3973233805744054,2.244016815832518,5.67751071684483,4.008839043249114,0.0,0.0,0.0,39,5,47,False
47,47,14,385,2.031799647586368,2.9252549903712355,4.2931422497324565,3.6141188201605368,0.0,0.0,0.0,45,3,285,False
48,48,14,361,2.0993749382585043,2.4134783354228424,5.8540319947917885,3.5540127313231658,0.0,0.0,0.0,37,4,60,False
49,49,14,26,2.4695127855590138,3.8358586182255086,5.688888661681714,4.612454919462314,0.0,0.0,0.0,44,5,203,False
50,50,14,463,2.6623836556138207,3.1110527179242813,7.170852854786224,4.745124694420694,0.0,0.0,0.0,47,6,734,False
51,51,14,262,2.303959996612135,3.096688981804605,5.733682332634137,4.262195722160704,0.0,0.0,0.0,41,6,55,False
52,52,14,105,2.502176270089075,2.695477795091212,6.647726313734914,4.365020803311351,0.0,0.0,0.0,44,5,789,True
53,53,14,248,2.2895463629191086,2.657305819940845,5.1366554368494315,3.950647521521683,0.0,0.0,0.0,44,5,12,False
54,54,14,466,2.171690614952048,2.8578995726311502,5.731428980136676,4.231532417976059,0.0,0.0,0.0,44,6,325,False
55,55,14,220,1.9856182182562412,2.718687801072774,4.52246529325144,3.479946904061068,0.0,0.0,0.0,43,3,283,False
56,56,14,307,2.045489055341837,2.4850461160387454,5.859517684990817,3.785681857840756,0.0,0.0,0.0,42,3,86,False
57,57,14,230,2.447416033707328,3.2902723998198344,6.38755974226824,4.726955908282071,0.0,0.0,0.0,43,4,335,False
58,58,14,270,2.264555575804486,3.03847651931812,5.66268561911271,4.070098292601398,0.0,0.0,0.0,41,7,199,False
59,59,14,195,2.17719409241218,2.343864689383269,5.011690216443588,3.7854949525627033,0.0,0.0,0.0,41,7,233,True
60,60,14,193,2.2616761139480013,2.517829176025216,5.635757219028276,3.7827155318237513,0.0,0.0,0.0,40,6,351,True
61,61,14,260,2.4417313813082315,3.229018842296628,5.8691739072340505,4.365087829481409,0.0,0.0,0.0,42,7,122,False
62,62,14,344,2.273926452562651,3.46124122250438,5.791810631080267,4.288147704768715,0.0,0.0,0.0,44,8,239,False
63,63,14,114,2.3762069048487566,2.735809259633944,5.087002414843483,4.095801239681475,0.0,0.0,0.0,44,5,1159,True
64,64,14,179,2.1405158387803547,2.7380296514615803,7.181568883896105,3.864146242196583,0.0,0.0,0.0,41,5,272,False
65,65,14,97,2.4732910633054592,3.2825084975042715,4.66220492011064,4.188570795211594,0.0,0.0,0.0,44,7,562,False
66,66,14,238,2.33275829637532,2.8659623589783183,5.610845081449392,4.005606878477101,0.0,0.0,0.0,41,6,432,True
67,67,14,12,2.604808091694613,3.3921101713203776,5.657154406636934,4.622494099793544,0.0,0.0,0.0,44,6,370,False
68,68,14,271,2.386031041252397,2.7826209844066407,5.81250914723729,4.184286402589284,0.0,0.0,0.0,42,6,32,False
69,69,14,334,2.4055862138770467,3.4380125509696664,5.299487670202459,4.202659816465518,0.0,0.0,0.0,45,7,219,False
70,70,14,326,2.2352578623235333,3.225239633347853,4.816974826683693,3.940637494049649,0.0,0.0,0.0,46,2,716,True
71,71,14,173,1.7520954307355374,2.344017434963243,3.5913177773955782,3.0108376418207965,0.0,0.0,0.0,44,4,151,False
72,72,14,295,2.6830633831164805,4.035541982029423,7.0030090123793745,4.9721387833177735,0.0,0.0,0.0,43,7,247,False
73,73,14,115,2.3180831783175164,2.7670329176198614,5.2474889070376936,4.16101704371288,0.0,0.0,0.0,40,4,423,True
74,74,14,376,2.5960345501750366,2.7200165444546456,6.657060667262742,4.718306346739934,0.0,0.0,0.0,43,7,110,False
75,75,14,459,2.093732179890422,2.464601273965022,5.2322928512083084,3.7730387771919176,0.0,0.0,0.0,43,3,320,True
76,76,14,217,2.7226668959614915,2.792582347801062,6.242379039686397,4.793051709975944,0.0,0.0,0.0,42,8,452,False
77,77,14,229,2.1734714542618185,2.453962992043731,5.70960823446538,3.923123943076736,0.0,0.0,0.0,45,6,127,False
78,78,14,223,2.4584278827803763,3.2244363266873286,7.1356651723787,4.477567465935079,0.0,0.0,0.0,43,8,182,False
79,79,14,2,2.0808608194305345,2.8363857454606545,6.1045269304347825,4.019280546356373,0.0,0.0,0.0,42,3,246,False
80,80,14,451,2.7709745969059467,3.658698657752938,6.882194414294295,5.096128737574071,0.0,0.0,0.0,43,9,352,False
81,81,14,24,2.188775564412524,3.0241031082779486,4.53349977792606,3.7442215800816734,0.0,0.0,0.0,40,6,90,False
82,82,14,199,2.196169436379225,2.9685220127916114,5.066937261499247,4.002159835109564,0.0,0.0,0.0,43,4,627,True
83,83,14,291,2.3577181345365106,3.138165610546696,5.286639683517143,4.308933201747702,0.0,0.0,0.0,43,6,189,False
84,84,14,428,2.0795765217608957,2.9880789051012955,4.880383909808758,3.724076493111375,0.0,0.0,0.0,41,5,225,False
85,85,14,59,1.9421389025706528,2.1548976582531982,4.274470659148246,3.4245756490958583,0.0,0.0,0.0,41,7,154,False
