,Unnamed: 0,nodes,id,avg_avg_fit,min_best_fit,max_best_fit,avg_best_fit,num_edges,two_cycles,long_cycles,strongly_connected
0,0,14,118,1.9596,1.9857142857142855,2.0,1.9985714285714289,42,7,109,False
1,1,14,38,1.969942857142857,2.0,2.0,2.0,45,6,348,True
2,2,14,228,1.9743428571428572,2.0,2.0,2.0,42,7,50,False
3,3,14,190,1.964171428571429,2.0,2.0,2.0,44,5,61,False
4,4,14,288,1.9766857142857144,2.0,2.0,2.0,43,6,373,True
5,5,14,338,1.9574857142857145,1.9714285714285715,2.0,1.995714285714286,44,6,285,True
6,6,14,355,1.9703428571428567,1.9857142857142855,2.0,1.9985714285714289,41,3,44,False
7,7,14,393,1.9726285714285712,1.9714285714285715,2.0,1.9957142857142856,42,3,1140,False
8,8,14,378,1.957885714285715,1.9857142857142855,2.0,1.9957142857142856,43,6,178,False
9,9,14,488,1.9732,1.9857142857142855,2.0,1.9985714285714289,44,5,196,False
10,10,14,138,1.9696571428571432,1.9857142857142855,2.0,1.9985714285714289,47,4,1224,False
11,11,14,483,1.977142857142857,1.9857142857142855,2.0,1.9985714285714289,41,8,128,False
12,12,14,467,1.9754285714285715,2.0,2.0,2.0,41,5,84,False
13,13,14,91,1.9718285714285717,2.0,2.0,2.0,42,8,702,False
14,14,14,184,1.9563428571428567,1.9857142857142855,2.0,1.9971428571428576,48,9,651,True
15,15,14,494,1.9633142857142856,1.9857142857142855,2.0,1.9985714285714289,42,5,592,True
16,16,14,482,1.9544571428571431,2.0,2.0,2.0,42,6,234,False
17,17,14,389,1.9665142857142852,2.0,2.0,2.0,42,5,98,True
18,18,14,462,1.972914285714286,1.9857142857142855,2.0,1.9985714285714289,39,9,117,False
19,19,14,103,1.9741714285714285,1.9857142857142855,2.0,1.9985714285714289,41,5,340,True
20,20,14,65,1.9725142857142857,2.0,2.0,2.0,43,9,90,False
21,21,14,423,1.9693714285714288,2.0,2.0,2.0,41,4,51,False
22,22,14,387,1.9694285714285715,1.9714285714285715,2.0,1.997142857142857,44,4,183,False
23,23,14,478,1.972628571428572,2.0,2.0,2.0,42,8,430,True
24,24,14,234,1.9731428571428569,2.0,2.0,2.0,43,5,223,False
25,25,14,79,1.9660571428571436,1.9857142857142855,2.0,1.997142857142857,41,4,367,True
26,26,14,314,1.978971428571429,2.0,2.0,2.0,40,3,84,False
27,27,14,205,1.9719428571428568,2.0,2.0,2.0,41,3,185,False
28,28,14,390,1.9646857142857144,2.0,2.0,2.0,40,7,26,False
29,29,14,198,1.9498857142857144,2.0,2.0,2.0,42,6,571,True
30,30,14,41,1.95,1.9857142857142855,2.0,1.997142857142857,44,8,789,True
31,31,14,17,1.9690285714285716,1.9857142857142855,2.0,1.9985714285714289,39,7,157,False
32,32,14,108,1.9705142857142857,2.0,2.0,2.0,44,6,1086,True
33,33,14,475,1.9728571428571429,2.0,2.0,2.0,42,3,576,True
34,34,14,23,1.9657142857142855,1.9857142857142855,2.0,1.9985714285714289,42,7,34,False
35,35,14,276,1.969828571428572,1.9857142857142855,2.0,1.9985714285714289,40,5,289,True
36,36,14,7,1.973657142857143,2.0,2.0,2.0,45,5,258,False
37,37,14,245,1.9730285714285716,1.9857142857142855,2.0,1.9985714285714289,42,5,299,False
38,38,14,57,1.9628571428571424,1.9857142857142855,2.0,1.9985714285714289,44,6,115,False
39,39,14,369,1.9732,1.9857142857142855,2.0,1.997142857142857,41,4,380,False
40,40,14,149,1.9550857142857143,2.0,2.0,2.0,44,3,576,True
41,41,14,64,1.9702285714285717,1.9857142857142855,2.0,1.9985714285714289,46,6,1703,True
42,42,14,72,1.974171428571429,2.0,2.0,2.0,42,4,204,False
43,43,14,421,1.970628571428572,1.9857142857142855,2.0,1.9985714285714289,45,6,1068,True
44,44,14,180,1.974914285714286,1.9857142857142855,2.0,1.9942857142857144,44,7,330,False
45,45,14,222,1.971485714285714,1.9857142857142855,2.0,1.9985714285714289,42,3,351,True
46,46,14,19,1.9594285714285715,1.9857142857142855,2.0,1.997142857142857,39,5,47,False
47,47,14,385,1.9769714285714288,2.0,2.0,2.0,45,3,285,False
48,48,14,361,1.9717714285714287,1.9857142857142855,2.0,1.9985714285714289,37,4,60,False
49,49,14,26,1.9718285714285717,2.0,2.0,2.0,44,5,203,False
50,50,14,463,1.9649714285714288,1.9857142857142855,2.0,1.9985714285714289,47,6,734,False
51,51,14,262,1.9744571428571436,1.9857142857142855,2.0,1.9985714285714289,41,6,55,False
52,52,14,105,1.9717142857142855,1.9857142857142855,2.0,1.9985714285714289,44,5,789,True
53,53,14,248,1.9725714285714289,1.9857142857142855,2.0,1.9985714285714289,44,5,12,False
54,54,14,466,1.972857142857143,1.9857142857142855,2.0,1.997142857142857,44,6,325,False
55,55,14,220,1.970742857142857,2.0,2.0,2.0,43,3,283,False
56,56,14,307,1.9634285714285715,2.0,2.0,2.0,42,3,86,False
57,57,14,230,1.971257142857143,2.0,2.0,2.0,43,4,335,False
58,58,14,270,1.9687428571428571,1.9857142857142855,2.0,1.9985714285714289,41,7,199,False
59,59,14,195,1.9672571428571424,1.9714285714285715,2.0,1.9957142857142856,41,7,233,True
60,60,14,193,1.9737714285714287,1.9857142857142855,2.0,1.9985714285714289,40,6,351,True
61,61,14,260,1.9762857142857144,2.0,2.0,2.0,42,7,122,False
62,62,14,344,1.9708,2.0,2.0,2.0,44,8,239,False
63,63,14,114,1.9689714285714288,1.9857142857142855,2.0,1.9985714285714289,44,5,1159,True
64,64,14,179,1.975714285714285,2.0,2.0,2.0,41,5,272,False
65,65,14,97,1.975142857142857,2.0,2.0,2.0,44,7,562,False
66,66,14,238,1.9562285714285716,1.9857142857142855,2.0,1.9985714285714289,41,6,432,True
67,67,14,12,1.9690857142857143,1.9714285714285715,2.0,1.9957142857142856,44,6,370,False
68,68,14,271,1.966171428571429,1.9857142857142855,2.0,1.9957142857142856,42,6,32,False
69,69,14,334,1.9772571428571435,2.0,2.0,2.0,45,7,219,False
70,70,14,326,1.9726857142857144,2.0,2.0,2.0,46,2,716,True
71,71,14,173,1.970057142857143,2.0,2.0,2.0,44,4,151,False
72,72,14,295,1.9710857142857148,1.9857142857142855,2.0,1.9985714285714289,43,7,247,False
73,73,14,115,1.9580571428571432,1.9857142857142855,2.0,1.9942857142857144,40,4,423,True
74,74,14,376,1.970057142857143,1.9857142857142855,2.0,1.9985714285714289,43,7,110,False
75,75,14,459,1.943657142857143,1.9714285714285715,2.0,1.9957142857142856,43,3,320,True
76,76,14,217,1.9674285714285715,2.0,2.0,2.0,42,8,452,False
77,77,14,229,1.9734857142857145,2.0,2.0,2.0,45,6,127,False
78,78,14,223,1.976457142857143,2.0,2.0,2.0,43,8,182,False
79,79,14,2,1.9817142857142855,2.0,2.0,2.0,42,3,246,False
80,80,14,451,1.973885714285715,1.9857142857142855,2.0,1.9985714285714289,43,9,352,False
81,81,14,24,1.9746857142857144,2.0,2.0,2.0,40,6,90,False
82,82,14,199,1.9649142857142856,2.0,2.0,2.0,43,4,627,True
83,83,14,291,1.970742857142857,2.0,2.0,2.0,43,6,189,False
84,84,14,428,1.9722285714285717,2.0,2.0,2.0,41,5,225,False
85,85,14,59,1.967142857142857,2.0,2.0,2.0,41,7,154,False
86,86,14,170,1.977028571428572,1.9857142857142855,2.0,1.9985714285714289,42,3,130,False
87,87,14,140,1.9685714285714284,1.9857142857142855,2.0,1.9985714285714289,42,4,460,True
88,88,14,106,1.9694857142857145,1.9857142857142855,2.0,1.997142857142857,40,6,89,True
89,89,14,45,1.9741142857142853,2.0,2.0,2.0,41,7,233,True
90,90,14,294,1.9668,1.9857142857142855,2.0,1.9985714285714289,44,5,537,True
91,91,14,264,1.9730857142857148,1.9857142857142855,2.0,1.9985714285714289,47,7,1693,True
92,92,14,60,1.9688571428571435,1.9857142857142855,2.0,1.9985714285714289,44,6,549,False
93,93,14,447,1.9644571428571431,2.0,2.0,2.0,45,8,94,False
94,94,14,419,1.972285714285714,2.0,2.0,2.0,42,3,851,True
95,95,14,286,1.9627428571428571,1.9714285714285715,2.0,1.9957142857142856,47,5,682,True
96,96,14,278,1.973542857142857,2.0,2.0,2.0,41,5,50,False
97,97,14,202,1.971542857142857,1.9857142857142855,2.0,1.997142857142857,44,3,761,True
98,98,14,177,1.9638285714285717,2.0,2.0,2.0,41,4,283,True
99,99,14,151,1.9638285714285717,1.9857142857142855,2.0,1.9985714285714289,44,5,389,False
100,100,14,476,1.9721142857142853,1.9857142857142855,2.0,1.9985714285714289,42,7,197,False
101,101,14,130,1.9454857142857145,1.9857142857142855,2.0,1.997142857142857,46,4,746,True
102,102,14,219,1.9734285714285715,1.9857142857142855,2.0,1.9985714285714289,43,4,312,False
103,103,14,311,1.974171428571429,2.0,2.0,2.0,44,5,511,True
104,104,14,37,1.9678857142857145,1.9857142857142855,2.0,1.997142857142857,46,10,360,False
105,105,14,469,1.9748,2.0,2.0,2.0,44,11,171,False
106,106,14,259,1.979257142857143,2.0,2.0,2.0,42,3,187,False
107,107,14,351,1.9721714285714285,1.9714285714285715,2.0,1.9942857142857144,41,10,98,True
