,nodes,id,avg_avg_fit,min_best_fit,max_best_fit,avg_best_fit
0,10,122,1.9753599999999998,2.0,2.0,2.0
1,10,173,1.96568,1.98,2.0,1.998
2,10,400,1.95344,2.0,2.0,2.0
3,10,139,1.97256,2.0,2.0,2.0
4,10,54,1.97136,2.0,2.0,2.0
5,10,372,1.97352,2.0,2.0,2.0
6,10,67,1.97968,2.0,2.0,2.0
7,10,482,1.97728,2.0,2.0,2.0
8,10,185,1.96712,1.98,2.0,1.998
9,10,75,1.9683200000000003,2.0,2.0,2.0
10,10,404,1.96632,1.98,2.0,1.998
11,10,146,1.9771999999999998,2.0,2.0,2.0
12,10,222,1.9500800000000003,2.0,2.0,2.0
13,10,274,1.97568,2.0,2.0,2.0
14,10,258,1.97376,1.98,2.0,1.998
15,10,467,1.9724,2.0,2.0,2.0
16,10,411,1.9641599999999997,2.0,2.0,2.0
17,10,155,1.9749599999999998,2.0,2.0,2.0
18,10,187,1.9625599999999999,2.0,2.0,2.0
19,10,413,1.9724799999999998,2.0,2.0,2.0
20,10,412,1.98176,2.0,2.0,2.0
21,10,36,1.9794399999999999,1.98,2.0,1.998
22,10,349,1.9800799999999998,2.0,2.0,2.0
23,10,91,1.9723199999999999,1.98,2.0,1.998
24,10,221,1.97824,2.0,2.0,2.0
25,10,99,1.9777600000000004,2.0,2.0,2.0
26,10,385,1.982,2.0,2.0,2.0
27,10,74,1.9807199999999998,2.0,2.0,2.0
28,10,191,1.97592,2.0,2.0,2.0
29,10,216,1.9644,2.0,2.0,2.0
30,10,490,1.98664,2.0,2.0,2.0
31,10,360,1.96856,2.0,2.0,2.0
32,10,486,1.9784799999999998,2.0,2.0,2.0
33,10,275,1.9773599999999998,2.0,2.0,2.0
34,10,314,1.9843199999999999,2.0,2.0,2.0
35,10,56,1.9808,2.0,2.0,2.0
36,10,17,1.98176,2.0,2.0,2.0
37,10,406,1.9768800000000002,2.0,2.0,2.0
38,10,33,1.9814399999999999,2.0,2.0,2.0
39,10,454,1.968,2.0,2.0,2.0
40,10,196,1.9804,2.0,2.0,2.0
41,10,165,1.96936,2.0,2.0,2.0
42,10,150,1.9788799999999998,2.0,2.0,2.0
43,10,70,1.97568,1.98,2.0,1.998
44,10,206,1.9644,2.0,2.0,2.0
45,10,177,1.9697599999999997,2.0,2.0,2.0
46,10,336,1.96648,2.0,2.0,2.0
47,10,383,1.9781599999999997,2.0,2.0,2.0
48,10,297,1.97608,2.0,2.0,2.0
49,10,402,1.97408,2.0,2.0,2.0
50,10,395,1.98232,2.0,2.0,2.0
51,10,112,1.97136,2.0,2.0,2.0
52,10,65,1.97928,2.0,2.0,2.0
53,10,242,1.9752800000000001,2.0,2.0,2.0
54,10,295,1.9877599999999997,1.98,2.0,1.998
55,10,344,1.98168,2.0,2.0,2.0
56,10,443,1.9785599999999999,2.0,2.0,2.0
57,10,5,1.9822399999999998,2.0,2.0,2.0
58,10,28,1.97272,2.0,2.0,2.0
59,10,485,1.97576,2.0,2.0,2.0
60,10,50,1.9827199999999998,2.0,2.0,2.0
61,10,131,1.98056,2.0,2.0,2.0
62,10,161,1.98128,2.0,2.0,2.0
63,10,448,1.9847200000000005,2.0,2.0,2.0
64,10,130,1.9738399999999998,1.98,2.0,1.998
65,10,4,1.9684000000000001,2.0,2.0,2.0
66,10,396,1.97304,1.98,2.0,1.998
67,10,420,1.9795199999999997,2.0,2.0,2.0
68,10,376,1.9749599999999998,2.0,2.0,2.0
69,10,466,1.96784,1.96,2.0,1.996
70,10,367,1.9603199999999998,2.0,2.0,2.0
71,10,418,1.9739999999999998,2.0,2.0,2.0
