,Unnamed: 0.1,nodes,id,avg_avg_fit,min_best_fit,max_best_fit,avg_best_fit,num_edges,two_cycles,long_cycles,strongly_connected,avg_norm_amp,sd_norm_amp,avg_distance
0,0,6,38,1.9669333333333328,2.0,2.0,2.0,16,4,24,True,1.0,0.0,0.4586185571049619
1,1,6,53,1.986,2.0,2.0,2.0,16,5,18,True,1.0,0.0,0.39498258231998135
2,2,6,110,1.9682666666666664,2.0,2.0,2.0,18,6,24,True,1.0,0.0,0.4130832662085934
3,3,6,161,1.9678666666666669,2.0,2.0,2.0,19,5,35,True,1.0,0.0,0.48742148239211913
4,4,6,470,1.9826666666666664,2.0,2.0,2.0,18,6,24,True,1.0,0.0,0.4248241100432374
5,5,6,220,1.9794666666666667,2.0,2.0,2.0,16,5,10,True,1.0,0.0,0.3327697280385633
6,6,6,477,1.9737333333333331,2.0,2.0,2.0,18,6,39,True,1.0,0.0,0.43533629877542174
7,7,6,393,1.9770666666666663,2.0,2.0,2.0,18,6,17,True,1.0,0.0,0.47340696718163044
8,8,6,149,1.9882666666666668,2.0,2.0,2.0,18,7,16,True,1.0,0.0,0.46107338732489933
9,9,6,379,1.9708,2.0,2.0,2.0,18,8,17,True,1.0,0.0,0.3933194258964842
10,10,6,372,1.9785333333333333,2.0,2.0,2.0,18,5,19,True,1.0,0.0,0.47460181891260206
11,11,6,319,1.9794666666666665,2.0,2.0,2.0,19,5,49,True,1.0,0.0,0.5324640868022071
12,12,6,424,1.9678666666666669,2.0,2.0,2.0,17,7,18,True,1.0,0.0,0.44036841357834466
13,13,6,190,1.9468,2.0,2.0,2.0,19,7,21,True,1.0,0.0,0.5308572038923813
14,14,6,469,1.9770666666666667,2.0,2.0,2.0,18,4,31,True,1.0,0.0,0.40633991527526475
15,15,6,211,1.9765333333333333,2.0,2.0,2.0,19,8,34,True,1.0,0.0,0.5486694084825868
16,16,6,40,1.9658666666666669,2.0,2.0,2.0,16,4,13,True,1.0,0.0,0.39035166110348724
17,17,6,0,1.9789333333333328,2.0,2.0,2.0,17,4,26,True,1.0,0.0,0.4248401514830761
18,18,6,316,1.982,2.0,2.0,2.0,16,5,19,False,1.0,0.0,0.45627379500981197
19,19,6,390,1.9816,2.0,2.0,2.0,19,5,35,True,1.0,0.0,0.4016671426025147
20,20,6,41,1.9842666666666664,2.0,2.0,2.0,18,6,26,True,1.0,0.0,0.438827279358891
21,21,6,435,1.979733333333333,2.0,2.0,2.0,16,5,17,True,1.0,0.0,0.39647976829883363
22,22,6,59,1.9784,2.0,2.0,2.0,16,5,14,True,1.0,0.0,0.43415614136156166
23,23,6,143,1.9465333333333328,2.0,2.0,2.0,18,4,35,True,1.0,0.0,0.49810758594270177
24,24,6,350,1.9845333333333337,2.0,2.0,2.0,15,4,17,True,1.0,0.0,0.43654812526965925
25,25,6,230,1.9858666666666664,2.0,2.0,2.0,17,6,7,True,1.0,0.0,0.4755303019000617
26,26,6,291,1.9736,2.0,2.0,2.0,21,8,66,True,1.0,0.0,0.5720413697685752
27,27,6,1,1.9596,2.0,2.0,2.0,17,5,24,True,1.0,0.0,0.49049414099149174
28,28,6,169,1.9773333333333327,2.0,2.0,2.0,16,7,6,False,1.0,0.0,0.4467908124823686
29,29,6,394,1.9750666666666667,2.0,2.0,2.0,17,5,21,True,1.0,0.0,0.4121899073111945
30,30,6,318,1.979733333333333,2.0,2.0,2.0,18,7,21,True,1.0,0.0,0.4287149212980359
31,31,6,171,1.9753333333333327,2.0,2.0,2.0,19,7,29,True,1.0,0.0,0.4950248338238261
32,32,6,179,1.9733333333333327,2.0,2.0,2.0,14,3,10,False,1.0,0.0,0.36337874881827437
33,33,6,462,1.969733333333333,2.0,2.0,2.0,17,6,25,True,1.0,0.0,0.448614665872221
34,34,6,286,1.9842666666666668,2.0,2.0,2.0,18,4,34,True,1.0,0.0,0.4909083184067527
35,35,6,233,1.9825333333333333,2.0,2.0,2.0,16,4,22,True,1.0,0.0,0.451733232738881
36,36,6,269,1.9762666666666664,2.0,2.0,2.0,17,3,25,True,1.0,0.0,0.4079240228427538
37,37,6,499,1.9828,2.0,2.0,2.0,16,5,19,True,1.0,0.0,0.41520593734328154
38,38,6,313,1.9817333333333331,2.0,2.0,2.0,17,6,5,False,1.0,0.0,0.4471319655156021
39,39,6,47,1.9626666666666668,2.0,2.0,2.0,15,4,5,False,1.0,0.0,0.3877574273605539
40,40,6,162,1.9950666666666668,2.0,2.0,2.0,18,7,16,True,1.0,0.0,0.3650529998968247
41,41,6,5,1.9725333333333328,2.0,2.0,2.0,19,7,25,True,1.0,0.0,0.44155836264460496
42,42,6,244,1.9738666666666664,2.0,2.0,2.0,18,5,35,True,1.0,0.0,0.519096660606913
43,43,6,281,1.9808000000000003,2.0,2.0,2.0,19,6,31,True,1.0,0.0,0.4623172110574639
44,44,6,232,1.972,2.0,2.0,2.0,18,4,49,True,1.0,0.0,0.5434953186072538
45,45,6,204,1.9765333333333333,1.9666666666666663,2.0,1.9966666666666668,17,5,21,True,0.9666666666666666,0.1,0.4628029824011687
46,46,6,27,1.987733333333333,2.0,2.0,2.0,16,5,16,True,1.0,0.0,0.37285102447888113
47,47,6,487,1.9758666666666664,2.0,2.0,2.0,17,6,26,False,1.0,0.0,0.4653631228465731
48,48,6,96,1.9694666666666667,2.0,2.0,2.0,18,7,21,True,1.0,0.0,0.45268554716679615
49,49,6,362,1.9824,2.0,2.0,2.0,17,6,15,True,1.0,0.0,0.4790834682966837
50,50,6,203,1.9785333333333333,2.0,2.0,2.0,19,6,55,True,1.0,0.0,0.5577034572115951
51,51,6,92,1.988,2.0,2.0,2.0,18,6,26,True,1.0,0.0,0.4795778509768256
52,52,6,331,1.9788,2.0,2.0,2.0,20,6,16,True,1.0,0.0,0.5545862222248268
53,53,6,185,1.9777333333333331,2.0,2.0,2.0,19,5,30,True,1.0,0.0,0.5490203122947529
54,54,6,297,1.9781333333333333,2.0,2.0,2.0,18,5,20,True,1.0,0.0,0.4231300091916155
55,55,6,445,1.987866666666667,2.0,2.0,2.0,17,5,31,True,1.0,0.0,0.4257229608508803
56,56,6,15,1.9834666666666665,2.0,2.0,2.0,15,5,6,True,1.0,0.0,0.3590559538030813
57,57,6,453,1.9844,2.0,2.0,2.0,17,6,19,True,1.0,0.0,0.4058528101310071
58,58,6,166,1.9729333333333328,2.0,2.0,2.0,18,6,33,True,1.0,0.0,0.4501017079225751
59,59,6,139,1.9924000000000004,2.0,2.0,2.0,19,7,23,True,1.0,0.0,0.5340939333258421
60,60,6,45,1.9890666666666668,2.0,2.0,2.0,20,7,41,True,1.0,0.0,0.5421470886538899
61,61,6,201,1.9833333333333336,2.0,2.0,2.0,18,5,26,True,1.0,0.0,0.4226509822728219
62,62,6,158,1.9834666666666667,2.0,2.0,2.0,18,7,9,True,1.0,0.0,0.45623626838681125
63,63,6,397,1.9746666666666663,2.0,2.0,2.0,16,3,18,True,1.0,0.0,0.38484520440515874
64,64,6,80,1.9872,2.0,2.0,2.0,19,6,30,True,1.0,0.0,0.42616137238149293
65,65,6,391,1.9832,2.0,2.0,2.0,17,8,11,True,1.0,0.0,0.3954683037019821
